Hour,TI(AM/PM),Weekday,Day,Month,Electricity(kwh)
3,PM,mon,24,Mar,0.384
5,AM,,15,Aug,1.201
8,PM,thu,20,Mar,1.523
6,PM,,23,Apr,0.424
1,AM,fri,19,Dec,0.209
5,AM,tue,19,Aug,1.228
12,PM,mon,7,Jul,1.296
7,AM,tue,25,Nov,0.437
8,AM,,14,Aug,0.523
4,PM,,25,Jan,2.052
4,PM,,11,Feb,0.509
1,AM,fri,11,Jul,0.547
12,AM,sun,28,Dec,0.845
8,PM,tue,1,Apr,0.557
3,AM,tue,4,Feb,0.283
11,PM,sun,11,May,0.344
7,PM,,24,Jun,2.948
1,AM,,19,Jun,0.378
8,PM,,23,Sep,0.963
12,PM,,26,Jul,1.469
11,AM,mon,23,Jun,1.017
9,AM,tue,1,Jul,0.626
1,PM,tue,11,Feb,0.547
11,AM,,23,Dec,0.578
10,PM,sat,20,Dec,0.392
10,AM,sat,17,May,0.514
12,PM,mon,28,Apr,0.147
1,PM,sat,8,Mar,0.542
11,PM,,21,Jan,0.89
12,AM,,17,Jan,0.546
12,AM,,2,Apr,0.1
12,AM,sun,1,Jun,1.67
4,PM,fri,24,Oct,0.269
6,AM,,3,Oct,0.626
10,PM,,15,Nov,0.203
2,AM,thu,8,May,0.178
10,PM,fri,25,Apr,0.231
10,AM,mon,8,Sep,0.308
4,PM,wed,3,Sep,0.33
4,AM,,24,Aug,0.385
8,PM,sun,23,Mar,1.67
12,AM,,9,Jan,0.54
1,AM,thu,15,May,0.15
11,PM,fri,31,Oct,0.558
12,PM,fri,15,Aug,0.552
8,AM,,15,Mar,0.988
6,PM,,21,Jan,2.912
10,PM,,26,Oct,0.246
8,AM,,2,May,0.272
2,PM,,30,Nov,0.403
6,AM,sun,13,Apr,0.245
1,PM,,7,Jul,0.874
9,PM,fri,17,Jan,0.672
3,PM,,7,Jan,0.84
9,PM,,31,May,0.326
5,PM,thu,18,Dec,1.53
1,PM,thu,13,Feb,0.432
1,PM,tue,17,Jun,0.814
11,PM,mon,11,Aug,0.618
12,PM,,13,Feb,0.594
11,PM,sun,5,Oct,0.264
9,PM,fri,14,Mar,0.314
3,AM,,6,Sep,0.185
6,PM,thu,6,Nov,0.731
2,AM,thu,9,Jan,0.4
2,PM,,13,Dec,0.986
11,PM,tue,6,May,0.464
4,PM,,9,Jan,0.848
3,AM,,5,Feb,0.228
9,AM,wed,16,Jul,0.799
12,AM,thu,8,May,0.245
12,AM,thu,25,Dec,0.333
4,AM,,23,Jan,0.384
7,PM,wed,3,Sep,1.008
6,PM,,7,Nov,0.624
3,AM,mon,7,Jul,0.394
11,AM,,15,Nov,0.289
12,AM,wed,5,Mar,0.266
11,PM,,13,Aug,0.612
3,PM,thu,20,Nov,0.151
6,PM,mon,17,Mar,1.165
1,AM,,22,Jan,0.376
11,PM,thu,3,Jul,1.164
6,AM,thu,13,Mar,1.066
8,PM,mon,24,Feb,2.304
10,PM,sun,7,Dec,0.55
10,AM,wed,4,Jun,0.655
3,PM,sun,2,Mar,0.842
4,PM,,16,Jul,0.998
12,PM,sun,23,Feb,0.583
3,AM,,13,Jan,0.38
1,PM,thu,16,Oct,0.25
1,AM,mon,29,Dec,0.22
12,PM,wed,7,May,0.416
6,PM,sat,22,Feb,2.462
8,AM,tue,15,Jul,0.835
1,AM,tue,29,Jul,0.576
9,AM,mon,24,Feb,0.324
2,AM,thu,2,Jan,0.348
3,AM,tue,11,Mar,0.155
6,PM,,18,Apr,0.445
9,AM,mon,7,Jul,0.763
4,AM,,3,May,0.23
1,PM,fri,7,Mar,0.285
8,AM,,2,Oct,0.192
6,AM,sat,30,Aug,0.998
3,AM,wed,17,Dec,0.209
3,AM,,9,Sep,0.157
11,AM,wed,24,Dec,0.578
8,PM,,17,Apr,0.418
2,PM,thu,5,Jun,0.59
2,PM,,5,Oct,0.504
5,AM,,15,Jan,2.574
11,AM,wed,15,Oct,0.351
5,AM,fri,19,Sep,0.924
9,AM,wed,24,Dec,0.37
4,PM,tue,8,Apr,0.144
2,PM,,20,Aug,0.576
7,PM,,1,Apr,0.562
12,AM,sat,26,Apr,0.194
5,AM,thu,7,Aug,1.386
8,AM,,20,Jul,2.558
2,AM,,9,Sep,0.158
9,AM,fri,23,May,0.209
11,AM,wed,5,Nov,0.252
9,AM,,22,Sep,0.174
2,PM,,8,Jan,0.728
12,PM,,21,Mar,0.416
10,AM,,30,Dec,0.431
1,PM,wed,12,Mar,0.294
3,AM,sun,16,Nov,0.122
6,AM,,15,Nov,0.367
4,AM,fri,2,May,0.154
6,AM,thu,8,May,0.797
1,PM,wed,8,Oct,0.223
11,PM,sun,25,May,0.372
7,PM,,18,Nov,0.778
12,PM,wed,26,Feb,0.702
10,PM,fri,19,Sep,0.412
10,AM,,13,Apr,0.166
6,AM,,21,Aug,1.166
3,AM,,21,May,0.162
5,AM,thu,30,Oct,0.601
12,AM,tue,2,Dec,0.267
9,PM,,6,Jun,0.785
11,AM,tue,30,Dec,0.446
7,PM,tue,15,Jul,4.277
1,AM,mon,25,Aug,0.226
12,AM,,13,Aug,0.396
10,AM,fri,21,Feb,0.413
7,PM,tue,22,Jul,4.277
12,AM,tue,2,Sep,0.172
2,AM,fri,14,Mar,0.152
8,AM,mon,24,Feb,0.461
11,AM,,20,Jan,0.93
7,PM,sun,13,Jul,4.925
8,PM,,28,Apr,0.538
9,AM,,8,Dec,0.3
2,PM,,26,Jul,2.189
7,AM,fri,31,Oct,0.556
12,PM,wed,14,May,0.372
7,PM,wed,22,Jan,3.564
4,PM,,4,Sep,0.269
10,PM,sun,15,Jun,1.035
7,AM,sat,19,Jul,2.909
2,PM,thu,25,Dec,0.4
2,PM,,14,Jan,0.672
2,PM,fri,12,Dec,0.488
1,PM,,22,May,0.317
1,AM,,31,Jan,0.436
3,AM,sun,20,Jul,0.806
4,AM,fri,12,Dec,0.176
4,PM,,6,Oct,0.288
4,AM,,29,Jan,0.324
7,AM,sat,28,Jun,2.354
5,PM,thu,30,Jan,2.73
8,AM,,24,Oct,0.24
3,PM,mon,27,Oct,0.286
2,AM,sat,24,May,0.204
4,PM,,2,Jun,0.756
1,PM,,2,May,0.304
3,AM,sat,7,Jun,0.437
6,PM,thu,31,Jul,3.494
5,PM,wed,17,Dec,1.187
9,AM,,1,Mar,0.864
8,AM,sun,1,Jun,2.083
2,PM,mon,11,Aug,0.514
12,PM,,1,Jun,0.94
9,PM,,5,Apr,0.113
12,AM,sat,6,Sep,0.655
7,PM,sat,29,Nov,0.689
8,PM,,13,Apr,0.524
10,PM,,6,Oct,0.288
12,AM,tue,19,Aug,0.346
4,AM,mon,28,Apr,0.061
11,PM,fri,24,Oct,0.648
7,AM,,15,Apr,0.216
10,PM,,24,May,0.368
8,AM,tue,15,Apr,0.108
6,AM,,14,Jul,3.168
3,AM,mon,23,Jun,0.32
4,PM,,13,Feb,0.523
6,PM,mon,17,Nov,0.662
8,AM,,27,Jan,0.864
10,AM,,22,Jul,1.133
2,AM,sun,19,Jan,0.684
6,PM,,25,Jan,3.492
9,AM,,31,Oct,0.173
5,AM,,5,Oct,0.212
5,AM,,26,Jan,0.618
1,AM,,19,Feb,0.233
11,AM,,24,Jan,1.1
5,PM,,28,Mar,1.009
7,PM,,7,Sep,1.474
3,AM,,19,Sep,0.155
9,PM,sun,22,Jun,1.069
2,PM,mon,24,Mar,0.307
7,PM,sun,5,Jan,4.068
9,AM,wed,5,Nov,0.109
6,PM,,23,Jun,2.041
6,AM,,16,Jun,2.225
9,AM,mon,7,Apr,0.082
4,AM,tue,13,May,0.186
10,PM,,27,Nov,0.207
9,AM,sat,21,Jun,1.49
2,AM,tue,4,Mar,0.15
2,PM,sun,12,Jan,1.824
7,AM,wed,19,Mar,0.799
8,AM,sat,14,Jun,2.574
3,PM,,14,Dec,0.842
12,PM,wed,12,Mar,0.348
7,AM,,24,Feb,0.95
6,PM,,21,Sep,1.21
8,PM,,8,Jan,2.56
5,AM,,9,Nov,0.149
8,AM,fri,1,Aug,0.418
4,PM,,16,Apr,0.121
7,PM,mon,1,Sep,1.197
3,AM,tue,4,Nov,0.084
6,PM,,10,Nov,0.687
12,AM,wed,31,Dec,0.36
3,AM,sat,22,Mar,0.24
9,AM,,19,Jun,0.437
1,AM,,26,Mar,0.149
4,AM,mon,3,Feb,0.283
1,PM,thu,11,Sep,0.23
9,AM,,26,Jun,0.637
6,PM,thu,7,Aug,1.478
12,PM,sat,4,Oct,0.432
6,AM,,20,Jun,2.441
7,AM,sun,17,Aug,1.44
11,PM,tue,8,Jul,1.188
9,AM,fri,21,Feb,0.4
8,AM,mon,6,Oct,0.262
12,PM,,22,Apr,0.147
2,AM,tue,4,Feb,0.264
8,PM,mon,8,Sep,0.986
2,PM,sat,6,Dec,0.862
8,AM,mon,24,Mar,0.349
12,AM,,12,Jun,0.432
9,PM,,23,Nov,0.311
11,AM,,27,Apr,0.169
8,AM,,8,Jan,0.912
8,PM,fri,18,Apr,0.576
7,AM,,17,Sep,0.542
8,PM,sun,31,Aug,2.095
1,AM,wed,24,Dec,0.255
6,PM,sun,25,May,1.267
1,PM,fri,13,Jun,0.583
9,PM,tue,18,Nov,0.308
3,PM,,10,Nov,0.176
10,PM,thu,23,Jan,1.07
2,PM,,13,Jul,1.92
11,AM,,9,Jul,1.14
10,AM,,3,Aug,0.677
4,PM,,5,Aug,0.557
2,AM,fri,28,Feb,0.211
1,PM,mon,24,Mar,0.288
12,AM,,27,Apr,0.283
1,AM,,3,Jul,0.494
2,AM,,8,Jan,0.444
5,AM,fri,24,Jan,2.178
11,AM,,3,May,0.403
9,AM,sat,19,Jul,2.506
5,AM,thu,25,Dec,1.379
10,AM,fri,5,Dec,0.493
2,PM,,22,Jan,0.712
2,PM,,9,Jul,1.152
10,AM,wed,20,Aug,0.466
